date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:38:56	1632/1632	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Dec%202016%2020:52:03%20GMT	https://www.cryptoprank.com/	C:/My%20Web%20Sites/test/www.cryptoprank.com/index.html	(from )
08:39:19	45/45	---M-Z	404	error ('Not%20Found')	application/json	date:Thu,%2009%20Nov%202017%2014:39:21%20GMT	https://www.cryptoprank.com/robots.txt		(from )
08:39:19	2366/2366	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Sat,%2017%20Dec%202016%2020:52:06%20GMT	https://www.cryptoprank.com/assets/favicon.ico	C:/My%20Web%20Sites/test/www.cryptoprank.com/assets/favicon.ico	(from https://www.cryptoprank.com/)
08:39:20	450952/450952	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Dec%202016%2020:52:19%20GMT	https://www.cryptoprank.com/styles/vendor-e74cf48c06.css	C:/My%20Web%20Sites/test/www.cryptoprank.com/styles/vendor-e74cf48c06.css	(from https://www.cryptoprank.com/)
08:39:20	5893/5893	---M-Z	200	added ('OK')	text/css	date:Sat,%2017%20Dec%202016%2020:52:16%20GMT	https://www.cryptoprank.com/styles/app-f4fa250c07.css	C:/My%20Web%20Sites/test/www.cryptoprank.com/styles/app-f4fa250c07.css	(from https://www.cryptoprank.com/)
08:39:21	33002/33002	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2017%20Dec%202016%2020:52:13%20GMT	https://www.cryptoprank.com/scripts/app-04003d9dbf.js	C:/My%20Web%20Sites/test/www.cryptoprank.com/scripts/app-04003d9dbf.js	(from https://www.cryptoprank.com/)
08:39:21	669532/669532	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2017%20Dec%202016%2020:52:16%20GMT	https://www.cryptoprank.com/scripts/vendor-5a72bc13c3.js	C:/My%20Web%20Sites/test/www.cryptoprank.com/scripts/vendor-5a72bc13c3.js	(from https://www.cryptoprank.com/)
08:39:22	0/0	UR-M-Z	416	error ('Requested%20range%20not%20satisfiable')	text/javascript	date:Fri,%2020%20Oct%202017%2023:46:20%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/test/www.google-analytics.com/analytics.js	(from https://www.cryptoprank.com/)
08:39:45	811/811	---MC-	200	added ('OK')	text/javascript	date:Thu,%2009%20Nov%202017%2014:39:23%20GMT	https://www.google.com/recaptcha/api.js?onload=vcRecaptchaApiLoaded&render=explicit	C:/My%20Web%20Sites/test/www.google.com/recaptcha/apibd2c.js	(from https://www.cryptoprank.com/)
08:39:55	36015/36015	---MC-	200	added ('OK')	text/javascript	date:Fri,%2020%20Oct%202017%2023:46:20%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/test/www.google-analytics.com/analytics.js	(from https://www.google-analytics.com/analytics.js)
